"","Base","Location","State","Coordinates","Major Command","Lat","Long"
"136","Griffiss International Airport","Rome, New York","NY","43°13′50.955″N 75°24′34.707″W","ANG",43.2305555555556,-75.4094444444444
"137","Boise Airport","Boise, Idaho","ID","43°33′52″N 116°13′22″W","ANG",43.5644444444444,-116.222777777778
"138","Sioux Falls Regional Airport","Sioux Falls, South Dakota","SD","43°34′55″N 096°44′31″W","ANG",43.5819444444445,-96.7419444444444
"139","Volk Field Air National Guard Base","New Lisbon, Wisconsin","WI","43°56′11″N 090°15′35″W","ANG",43.9363888888889,-90.2597222222222
"140","Ellsworth Air Force Base","Box Elder","SD","44°08′42″N 103°06′13″W","AFGSC",44.145,-103.103611111111
"141","Burlington International Airport","Burlington, Vermont","VT","44°28′22″N 073°08′48″W","ANG",44.4727777777778,-73.1466666666667
"142","Bangor International Airport","Bangor, Maine","ME","44°48′51″N 068°49′51″W","ANG",44.8141666666667,-68.8308333333333
"143","Minneapolis-Saint Paul International Airport","Minneapolis – Saint Paul, Minnesota","MN","44°52′54″N 093°14′01″W","AFRC",44.8816666666667,-93.2336111111111
"144","Portland International Airport","Portland, Oregon","OR","45°34′56″N 122°35′23″W","ANG",45.5822222222222,-122.589722222222
"145","Duluth International Airport","Duluth, Minnesota","MN","46°50′32″N 92°11′37″W","ANG",46.8422222222222,-92.1936111111111
"146","Hector International Airport","Fargo, North Dakota","ND","46°55′14″N 096°48′57″W","ANG",46.9205555555556,-96.8158333333333
"147","Joint Base Lewis-McChord","Tacoma","WA","47°08′51″N 122°28′46″W","AMC",47.1475,-122.479444444444
"148","Great Falls International Airport","Great Falls, Montana","MT","47°28′55.20″N 111°22′14.46″W","ANG",47.4819444444444,-111.370555555556
"149","Malmstrom Air Force Base","Great Falls","MT","47°30′17″N 111°11′14″W","AFGSC",47.5047222222222,-111.187222222222
"150","Fairchild Air Force Base","Airway Heights","WA","47°36′54″N 117°39′20″W","AMC",47.615,-117.655555555556
"151","Grand Forks Air Force Base","Grand Forks","ND","47°57′40″N 097°24′04″W","AMC",47.9611111111111,-97.4011111111111
"152","Minot Air Force Base","Minot","ND","48°24′57″N 101°21′29″W","AFGSC",48.4158333333333,-101.358055555556
"153","Cavalier Air Force Station","Mountain","ND","48°43′55″N 97°54′16″W","USSF",48.7319444444444,-97.9044444444445
"154","Pentagon","DC","VA","Something","HQ",38.8719,-77.0563
"155","Joint Base Pearl Harbor-Hickam","Honolulu","HI","Something","PACAF",21.3487,-157.944
"156","Elmendorf Air Force Base","Anchorage","AK","Something","PACAF",61.2536,-149.8113
"157","Eielson Air Force Base","Fairbanks","AK","Something","PACAF",64.6431,-147.0638
"158","Ramstein Air Force Base","Germany","Germany","Filler","USAFE",49.4397,7.5971
"159","Spangdahlem Air Force base","Germany","Germany","Filler","USAFE",49.9857,6.6843
"160","Lakenheath Royal Air Force","United Kingdom","United Kingdom","Filler","USAFE",52.4139,0.05221
"161","Mildenhall Royal Air Force","United Kingdom","United Kingdom","Filler","USAFE",52.3476,0.05156
"162","Aviano Air Force Base","Italy","Italy","Filler","USAFE",46.036,12.6145
"163","Kadena Air Force Base","Japan","Japan","Filler","PACAF",26.3557,127.7679
"164","Andersen Air Force Base","Guam","Guam","Filler","PACAF",13.5882,144.9202
"165","Osan Air Force Base","South Korea","South Korea","Filler","PACAF",37.0885,127.0338
"166","Yokota Air Force Base","Japan","Japan","Filler","PACAF",35.7332,139.3418
"167","Misawa Air Force Base","Japan","Japan","Filler","PACAF",40.6965,141.3878
