Wing,Group,Unit,Location,CONUS/OCONUS,Base,State
70 ISRW,373 ISRG,GR HQ,"JB ELMONDORF-RICHARDSON, AK",OCONUS,JB ELMONDORF-RICHARDSON,AK
70 ISRW,373 ISRG,301 IS ,"JB ELMONDORF-RICHARDSON, AK",OCONUS,JB ELMONDORF-RICHARDSON,AK
70 ISRW,373 ISRG,381 IS ,"JB ELMONDORF-RICHARDSON, AK",OCONUS,JB ELMONDORF-RICHARDSON,AK
363 ISRG,363 ISRG,GR HQ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
363 ISRG,363 ISRG,17 IS ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
363 ISRG,363 ISRG,36 IS,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
363 ISRG,363 ISRG,363 ISS ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
363 ISRG,365 ISRG,15 IS,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
480 ISRW,HQ,HQ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
480 ISRW,HQ,27 IS ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
480 ISRW,497 ISRG,GR HQ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
480 ISRW,497 ISRG,10 IS,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
480 ISRW,497 ISRG,30 IS ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
480 ISRW,497 ISRG,45 IS ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
480 ISRW,497 ISRG,497 OSS ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
557 WW,2 WXG,2 WSS OL B ,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
688 CW,690 COG,83 NOS,"JB LANGLEY-EUSTIS, VA",CONUS,JB LANGLEY-EUSTIS,VA
67 CW,67 COG,352 COS,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
70 ISRW,659 ISRG ,37 IS ,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
480 ISRW,692 ISRG,GR HQ,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
480 ISRW,692 ISRG,8 IS,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
480 ISRW,692 ISRG,324 IS,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
480 ISRW,692 ISRG,392 IS ,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
480 ISRW,692 ISRG,392 IS DET 1,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
480 ISRW,692 ISRG,792 ISS ,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
557 WW,1 WXG,17 OWS ,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
688 CW,690 COG,690 COS,"JBPH HICKAM ABS, HI",OCONUS,JBPH HICKAM ABS,HI
67 CW,HQ,HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,HQ,67 OSS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,67 COG,GR HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,67 COG,OL A ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,67 COG,91  COS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,318 COG,GR HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,318 COG,39 IOS DET 1,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,318 COG,90 COS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,318 COG,318 RANGE SQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,318 COG,346 TEST SQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,567 COG,92 COS ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,567 COG,833 COS ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,567 COG,834 COS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
67 CW,567 COG,836 COS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
70 ISRW,543 ISRG,GR HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
70 ISRW,543 ISRG,93 IS ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
70 ISRW,543 ISRG,531 IS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
70 ISRW,543 ISRG,668 ALIS ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
70 ISRW,659 ISRG ,35 IS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
70 ISRW,659 ISRG ,75 IS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
363 ISRG,365 ISRG,57 IS ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,HQ,HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,HQ,688 OSS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,26 COG,GR HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,26 COG,33 NWS ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,26 COG,68 NWS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,38 CEIG,38 CONS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,690 COG,GR HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,690 COG,690 ISS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
688 CW,690 COG,690 ISS OL B,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
16 AF,HQ,HQ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
16 AF,HQ,DET 1 OL A ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
16 AF,HQ,616 ACOMS,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
16 AF,HQ,616 ASUS ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
16 AF,HQ,616 OC ,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
16 AF,HQ,OL JR,"JBSA LACKLAND, TX",CONUS,JBSA LACKLAND,TX
55 WG,55 OG,82 RS ,"KADENA ABS, JP",OCONUS,KADENA ABS,JP
55 WG,55 OG,390 IS,"KADENA ABS, JP",OCONUS,KADENA ABS,JP
363 ISRG,361 ISRG,43 IS DET 1,"KADENA ABS, JP",OCONUS,KADENA ABS,JP
557 WW,2 WXG,2 WS DET 5,"KAENA POINT, HI",OCONUS,KAENA POINT,HI
557 WW,1 WXG,21 OWS,"KAPAUN ADM, DE",OCONUS,KAPAUN ADM,DE
688 CW,38 CEIG,85 EIS,"KEESLER AFB, MS",CONUS,KEESLER AFB,MS
70 ISRW,543 ISRG,93 IS OL C,"KEY WEST NAS, FL",CONUS,KEY WEST NAS,FL
557 WW,2 WXG,2 WS DET 1 ,"LEARMONTH CITY, AU",OCONUS,LEARMONTH CITY,AU
70 ISRW,691 ISRG,22 IS OL QB,"MACDILL AFB, FL",CONUS,MACDILL AFB,FL
363 ISRG,361 ISRG,OL C,"MACDILL AFB, FL",CONUS,MACDILL AFB,FL
480 ISRW,693 ISRG,485 IS ,"MAINZ-KASTEL, DE",OCONUS,MAINZ-KASTEL,DE
688 CW,26 COG,26 NOS,"MAXWELL-GUNTER AFS, AL",CONUS,MAXWELL-GUNTER AFS,AL
70 ISRW,691 ISRG,29 IS OL A,"MCLEAN CITY, VA",CONUS,MCLEAN CITY,VA
70 ISRW,543 ISRG,93 IS OL A,"MIAMI CITY, FL",CONUS,MIAMI CITY,FL
55 WG,55 OG,95 RS,"MILDENHALL ABS, UK",OCONUS,MILDENHALL ABS,UK
55 WG,55 OG,488 IS,"MILDENHALL ABS, UK",OCONUS,MILDENHALL ABS,UK
363 ISRG,361 ISRG,25 IS DET 1,"MILDENHALL ABS, UK",OCONUS,MILDENHALL ABS,UK
AFTAC,709 SPTG,OL MT ,"MILLINGTON CITY, TN",CONUS,MILLINGTON CITY,TN
480 ISRW,693 ISRG,402 IS OL RM,"MOLESWORTH, UK",OCONUS,MOLESWORTH,UK
67 CW,318 COG,DET 2 ,"NELLIS AFB, NV",CONUS,NELLIS AFB,NV
363 ISRG,365 ISRG,GR HQ,"NELLIS AFB, NV",CONUS,NELLIS AFB,NV
363 ISRG,365 ISRG,526 IS,"NELLIS AFB, NV",CONUS,NELLIS AFB,NV
363 ISRG,365 ISRG,526 IS OL A,"NELLIS AFB, NV",CONUS,NELLIS AFB,NV
363 ISRG,365 ISRG,547 IS,"NELLIS AFB, NV",CONUS,NELLIS AFB,NV
55 WG,HQ,HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,HQ,55 CPTS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 CG,GR HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 CG,55 CS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 CG,55 SCS ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MXG,GR HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MXG,55 AMXS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MXG,55 MXS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MDG,GR HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MDG,55 AMDS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MDG,55 DS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MDG,55 MDOS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MDG,55 MDSS ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MSG,GR HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MSG,55 CES,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MSG,55 CONS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MSG,55 FSS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MSG,55 LRS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 MSG,55 SFS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 OG,38 RS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 OG,45 RS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 OG,55 ISS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 OG,55 OSS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 OG,97 IS ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 OG,338 CMBT TNG SQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
55 WG,55 OG,343 RS ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
70 ISRW,691 ISRG,22 IS OL FS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
363 ISRG,363 ISRG,20 IS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,HQ,HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,1 WXG,GR HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,2 WXG,GR HQ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,2 WXG,2 CWSS OL A,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,2 WXG,2 SYOS ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,2 WXG,2 WS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,2 WXG,2 WSS,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
557 WW,2 WXG,16 WS ,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
AFTAC,709 SAG,21 SURS DET 1,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
16 AF,HQ,OL S,"OFFUTT AFB, NE",CONUS,OFFUTT AFB,NE
9 RW,9 OG,5 RS,"OSAN ABS, KP",OCONUS,OSAN ABS,KP
70 ISRW,544 ISRG,18 IS DET 2,"OSAN ABS, KP",OCONUS,OSAN ABS,KP
480 ISRW,694 ISRG,GR HQ,"OSAN ABS, KP",OCONUS,OSAN ABS,KP
480 ISRW,694 ISRG,6 IS ,"OSAN ABS, KP",OCONUS,OSAN ABS,KP
480 ISRW,694 ISRG,303 IS,"OSAN ABS, KP",OCONUS,OSAN ABS,KP
