Address,State,COUNTRY,Latitude,Longitude,City,State,County,Zip
NG Muscatatuck Urban Training Center,Indiana,United States,40.531266,-86.169537,Center,IN,Howard County,46901
NG Knightstown,Indiana,United States,39.7956,-85.52636,Knightstown,IN,Henry County,46148
NG Camp Atterbury,Indiana,United States,0,0,,,,
NG Indianapolis 38 ID,Indiana,United States,39.775092,-86.13216,Indianapolis,IN,Marion County,46201
NG Camp Adair Corvallis,Oregon,United States,44.639931,-123.275969,Corvallis,OR,Benton County,97330
NG MTA Camp Rilea,Oregon,United States,43.54154,-119.50384,Riley,OR,Harney County,97758
NG Camp Withycombe Clackamas,Oregon,United States,45.415038,-122.499461,Clackamas,OR,Clackamas County,97015
NG Shelbyville,Indiana,United States,39.511568,-85.791993,Shelbyville,IN,Shelby County,46176
NG MTA Ft Wm Henry Harrison,Montana,United States,45.70355,-111.78548,Harrison,MT,Madison County,59735
NG Helena Aviation RC- AASF- C12,Montana,United States,46.527398,-112.21037,Helena,MT,Lewis and Clark County,59601
NG Cumming,Georgia,United States,34.293049,-84.176166,Cumming,GA,Forsyth County,30028
NG Beauregard Training Range,Louisiana,United States,0,0,,,,
NG MTA Camp Curtis Guil,Massachusetts,United States,0,0,,,,
NG Ayer,Massachusetts,United States,42.566573,-71.575135,Ayer,MA,Middlesex County,1432
NG Lansing Joint Forces Readiness Center,Michigan,United States,47.100599,-88.483267,Senter,MI,Houghton County,49922
NG Camp Perry Joint Training Center,Ohio,United States,40.06396,-81.529009,Center,OH,Guernsey County,43725
NG Edgemeade TS Mtn Home,Idaho,United States,0,0,,,,
NG AASF02 Birmingham,Alabama,United States,33.456412,-86.801904,Birmingham,AL,Jefferson County,35201
NG MTC-H Camp Roberts,California,United States,0,0,,,,
NG ITC Camp San Luis Obisbo,California,United States,35.265573,-120.62122,San Luis Obispo,CA,San Luis Obispo County,93401
NG Camp Ravenna Joint Military Training Center,Ohio,United States,40.06396,-81.529009,Center,OH,Guernsey County,43725
NG Marseilles (MTA Tng Area),Illinois,United States,41.33087,-88.70813,Marseilles,IL,LaSalle County,61341
NG McConnelsville Training Site,Ohio,United States,39.737292,-81.915415,Mc Connelsville,OH,Morgan County,43756
NG Training Site,New Hampshire,United States,0,0,,,,
