Base,City,State,County,Country,Branch,Operational,Lat,Long,Major Command,FIPS
NG CTC Fort Custer Trng Center,Senter,MI,Houghton,United States,Army,Guard,47.100599,-88.483267,NA,26061
NG Lansing Joint Forces Readiness Center,Senter,MI,Houghton,United States,Army,Guard,47.100599,-88.483267,NA,26061
NG Muscatatuck Urban Training Center,Center,IN,Howard,United States,Army,Guard,40.531266,-86.169537,NA,5061
Holtville Carrier LS,Holtville,CA,Imperial,United States,Navy,Active,32.781362,-115.383857,NA,6025
NAF El Centro,El Centro,CA,Imperial,United States,Navy,Active,32.770275,-115.598602,NA,6025
OLF Coupeville,Coupeville,WA,Island,United States,Navy,Active,48.1894,-122.66765,NA,53029
Lake City AAP,Buckner,MO,Jackson,United States,Army,Active,39.132857,-94.193532,NA,40065
Altus Air Force Base,Altus,OK,Jackson,United States,Air Force,Active,34.598197,-99.440839,AETC,40065
NG HMO3 (Snake Creek TS),Sink Creek,FL,Jackson,United States,Army,Guard,30.848192,-85.231403,NA,40065
Louisville International Airport,Louisville,KY,Jefferson,United States,Air Force,Guard,38.17805556,-85.72472222,ANG,47089
Sumpter Smith Air National Guard Base,"Birmingham, Alabama",AL,Jefferson,United States,Air Force,NA,33.56388889,-86.75222222,ANG,47089
Fort Drum,Fort Drum,NY,Jefferson,United States,Army,Active,44.032457,-75.754468,NA,47089
NG AASF02 Birmingham,Birmingham,AL,Jefferson,United States,Army,Guard,33.456412,-86.801904,NA,47089
NGA Arnold Site,Arnold,MO,Jefferson,United States,Air Force,Active,38.43283,-90.37762,NA,47089
Pine Bluff Arsenal,Pine Bluff,AR,Jefferson,United States,Army,Active,34.21805,-92.004485,NA,47089
Whiteman Air Force Base,Knob Noster,MO,Johnson,United States,Air Force,Active,38.73027778,-93.54805556,AFGSC,47091
Volk Field Air National Guard Base,New Lisbon,WI,Juneau,United States,Air Force,Guard,43.93638889,-90.25972222,ANG,55057
McLaughlin Air National Guard Base (Yeager Airport),"Charleston, West Virginia",WV,Kanawha,United States,Air Force,NA,38.37305556,-81.59305556,ANG,54039
Yankee Target Range,Runge,TX,Karnes,United States,Navy,Active,28.88331,-97.71305,NA,48255
Dixie Target Range,Runge,TX,Karnes,United States,Navy,Active,28.88331,-97.71305,NA,48255
